title,date,url,content,source,label
Airbnb Business Plummets in Kenya as Fornication Rates Take a Nosedive,"July 3, 2025",https://postamate.com/2025/07/airbnb-business-plummets-in-kenya-as-fornication-rates-take-a-nosedive/,"NAIROBI, KENYA — In a shocking turn of events, Kenya’s once-thriving Airbnb market is teetering on the brink of collapse, and the culprit isn’t government regulation or economic woes—it’s a dramatic decline in fornication. The short-term rental giant, long a haven for clandestine romantic rendezvous, is reeling as Kenya’s young people suddenly discover chastity, leaving hosts with empty bookings and a surplus of unused rose petals. For years, Airbnb properties across Nairobi, Mombasa, and Kisumu have been the go-to spots for illicit affairs, discreet hookups, and the occasional “weekend business trip” that suspiciously lacked any actual business. “It was a golden era,” said local Airbnb host James Mwangi, wistfully wiping down an unused hot tub at his ‘Romantic City Escape’ listing. “Adultery was our bread and butter. Couples sneaking around, side-chicks needing a quick hideout—it kept the lights on. Now? It’s just me and my Wi-Fi router, staring at each other.” Market analysts confirm that Kenya’s Airbnb boom was fueled by a robust underground economy of extramarital escapades. “The data doesn’t lie,” said economist Sarah Wanjiku. “In 2023, 68% of Airbnb bookings in urban Kenya were made under suspiciously vague names like ‘John Smith’ or ‘Business Guest,’ often for single-night stays with requests for ‘extra towels’ and ‘no questions asked.’ Adultery was the invisible hand propping up the market.” But the tides of morality are shifting. Kenya’s youth, once reliable patrons of late-night trysts, are reportedly embracing a new wave of virtue. “We’re done with sneaking around,” declared 24-year-old influencer Purity Wambui, sipping a kale smoothie at a Nairobi café. “My generation is all about self-love, mindfulness, and not checking into Airbnbs with someone else’s husband. It’s, like, totally uncool now.” This seismic cultural shift has left Airbnb hosts scrambling. Listings once advertised with winking descriptions like “secluded love nest” or “discreet hideaway with soundproof walls” are gathering digital dust. “I used to get bookings every weekend,” lamented host Mary Akinyi, whose coastal villa once boasted a 4.9-star rating for “privacy.” “Now my calendar’s emptier than a politician’s promise. I even tried rebranding as a ‘family-friendly retreat,’ but who wants to bring their kids to a place with a heart-shaped bed?” The ripple effects are hitting Kenya’s economy hard. Local businesses that thrived on the Airbnb-fueled fornication economy—think candle makers, champagne suppliers, and cleaners specializing in glitter removal—are reporting record losses. “I used to sell 50 bottles of wine a week to Airbnb guests,” said Mombasa liquor store owner Peter Kamau. “Now I’m stuck with a crate of Merlot and a bunch of young people asking for green tea. Green tea!” Airbnb has attempted to pivot, launching a “Virtuous Getaway” campaign to attract the newly chaste demographic with listings touting “meditation corners” and “no Wi-Fi for ultimate purity.” But hosts remain skeptical. “I tried adding a prayer room to my listing,” said Mwangi. “Got one booking from a guy who turned out to be hiding from his wife anyway. Old habits die hard.” As Kenya’s youth continue their moral renaissance, the future of Airbnb hangs in the balance. Some hosts are holding out hope for a revival of the good old days. “Maybe it’s just a phase,” said Akinyi, rearranging rose petals into a sad smiley face. “Give it a few months. Someone’s bound to cheat again.” In the meantime, Kenya’s Airbnb hosts are left to ponder a sobering question: If nobody’s sinning, who’s going to book a one-night stay with a “no questions asked” policy? Only time—and perhaps a few wandering spouses—will tell. Cut out the middleman by joining our Telegram Channel below. This is PostaMate notification channel. We bring to you the best of satire.",PostaMate,satire
USAID’s ‘Toilet Towers’ Project in Nairobi Faces Scrutiny Over Accessibility Issues,"April 9, 2025",https://postamate.com/2025/04/usaid-toilet-towers-nairobi/,"The United States Agency for International Development (USAID) is facing mounting criticism over its multi-billion-dollar sanitation initiative, Flush Flats, a towering complex of high-rise buildings in Nairobi designed to address the city’s dire lack of toilet facilities in informal settlements. Launched two years ago with a staggering $4.7 billion budget, the project has transformed the skyline with its sleek, modern towers, each housing thousands of state-of-the-art flush toilets. Intended to serve the estimated 60% of Nairobi’s population living in slums, Flush Flats was hailed by USAID as a revolutionary step forward in urban sanitation infrastructure. The Flush Flats complex, located on the periphery of Nairobi’s largest informal settlements, consists of multiple 20-story buildings, each containing approximately 5,000 advanced flush toilets equipped with automated flushing systems, antimicrobial surfaces, and solar-powered energy solutions. USAID officials have touted the project as a sustainable and scalable model, designed to combat the pervasive health risks posed by open defecation and overburdened pit latrines. Since its completion last year, the towers have become an unmistakable feature of the city, their glass facades glinting in the sun as a symbol of international development ambition. However, nearly a year into its operation, Flush Flats is under scrutiny for its accessibility challenges. Residents of the informal settlements it serves—many of whom lack even basic sanitation at home—must travel an average of two kilometers to reach the nearest tower. For women and children, who often rely on these facilities after dusk, the journey involves navigating poorly lit, unpaved paths, raising significant safety concerns. Local resident Mary Wambui, a mother of three, expressed frustration in an interview with this outlet: “The toilets are clean and modern, but walking two kilometers at night with my children feels like a punishment, not progress.” USAID data indicates that Flush Flats has served over 200,000 users monthly since opening, a figure the agency cites as evidence of success. The towers feature motion-sensor lighting, voice-activated hygiene assistants, and water recycling systems, reflecting a high-tech approach to a basic need. Yet, the centralized design has led to logistical bottlenecks. Long queues have become a daily occurrence, with wait times stretching up to three hours during peak evening hours. Some residents have resorted to sleeping outside the facilities to secure a spot, while others have abandoned the trek altogether, reverting to less sanitary alternatives closer to home. Community leaders had questioned why USAID opted for a single, consolidated complex rather than distributing smaller toilet blocks throughout the settlements. In response, USAID’s sanitation program director defended the project’s design: “By concentrating resources, we’ve achieved economies of scale and created a lasting infrastructure legacy. Decentralized units would have diluted the impact and strained maintenance budgets.” He added that the agency is exploring solutions, including a pilot shuttle service and the distribution of solar-powered flashlights to improve nighttime access. The project has spurred some unexpected economic activity. Enterprising locals have set up food stalls, chair rentals, and even guided walking tours near the towers, capitalizing on the influx of visitors. However, these developments do little to address the core issue of distance. Women’s groups have called for additional security measures along the routes, citing reports of harassment and theft during late-night walks to the facilities. Flush Flats remains a polarizing endeavor. For USAID, it represents a bold investment in Nairobi’s future, with plans for a Phase II expansion already under discussion. Critics, however, argue that the billions spent on this high-rise sanitation spectacle could have been better allocated to more practical, community-centered solutions. As the project faces an uncertain future over the USAID shutdown, its legacy hangs in the balance— heralded as a modern marvel by some, yet a stark reminder to others that even the grandest infrastructure can fall short if it fails to meet people where they are. Cut out the middleman by joining our Telegram Channel below. This is PostaMate notification channel. We bring to you the best of satire.",PostaMate,satire
Activists Demand End to Farming to Save Water,"April 1, 2025",https://postamate.com/2025/04/activists-demand-end-to-farming-to-save-water/,"In a bold move to save the planet, a coalition of environmental activists has called for the complete abolition of farming, citing its “unacceptable” use of water and “problematic” impact on the Earth. The group, known as “H2-No More,” rallied outside a local Whole Foods, chanting, “No more farms, no more harm!” while holding signs that read, “Cows Drink, Earth Sinks.” Their solution? A revolutionary diet of rocks, which they claim is “100% sustainable” and “requires zero irrigation.” Spokesperson River Moonbeam, clad in a hemp onesie and sipping from a reusable straw made of recycled dreams, explained the group’s stance. “Farming is the ultimate eco-crime. It uses water—WATER!—to grow food, when we all know water belongs to the fish and the vibes of the universe,” Moonbeam said, pausing to adjust their biodegradable flower crown. “We’re proposing a new way forward: eating rocks. They’re abundant, they don’t need water, and they’re gluten-free. Plus, think of the Instagram aesthetic—#RockDiet is going viral as we speak.” The activists pointed to agriculture’s heavy water usage, noting that crops like almonds and rice are “thirstier than a TikTok influencer at Coachella.” They also blamed cows for “stealing” water to drink and “ruining the planet” with their methane emissions. “Cows are basically walking climate disasters,” said another activist, Skyler Cloudwalker, who admitted they hadn’t eaten a vegetable in years because “plants have feelings too.” When asked how society would survive without food, Cloudwalker shrugged. “We’ll figure it out. Maybe we can 3D-print vibes or something.” Local farmers were quick to respond with a mix of confusion and laughter. “So, let me get this straight,” said John Miller, a third-generation farmer who grows avocados in California. “They want us to stop growing food… to save water… so people can eat rocks? I mean, I’ve heard of farm-to-table, but this is more like quarry-to-stomach.” Miller added that his farm uses sustainable irrigation practices, but the activists weren’t interested in hearing about “Big Farmer propaganda.” Nutritionists also weighed in, gently pointing out that rocks might not provide the necessary nutrients for human survival. “Rocks are primarily composed of minerals like quartz or feldspar, which, while great for geology enthusiasts, aren’t exactly digestible,” said Dr. Linda Carter, a dietitian. “Humans need protein, carbs, and fats—none of which you’ll find in a pebble, unless it’s been marinated in ranch dressing, which I don’t recommend.” H2-No More dismissed the critique as “rockist” and accused Dr. Carter of being “in bed with Big Kale.” The movement has already gained traction online, with influencers posting tutorials on “How to Season Your Granite” and “Top 10 Boulders for Brunch.” One viral video showed a woman blending a smoothie with gravel, oat milk, and a pinch of Himalayan pink salt—“for flavor.” Comments ranged from “This cured my hunger forever!” to “My teeth are gone, but I feel so eco-conscious!” Meanwhile, grocery stores are bracing for impact. A spokesperson for Whole Foods said they’re considering a “Rock Aisle” to appease the activists, featuring artisanal stones at $12.99 a pound. “We’re calling it ‘Paleo 2.0,’” the spokesperson said. “It’s what our customers want—sustainability with a side of crunch.” As the debate rages on, H2-No More has vowed to escalate their protests by occupying local farms and replacing tractors with “meditation circles.” Moonbeam remains optimistic. “The future is rock-based, and we’re just the pioneers. One day, you’ll all thank us—probably while chewing on a nice piece of limestone.” Until then, farmers are holding their ground, and the cows, blissfully unaware, continue to drink their water. Cut out the middleman by joining our Telegram Channel below. This is PostaMate notification channel. We bring to you the best of satire.",PostaMate,satire
Ruto Opens Up About Growing Up in a Chapati-less Home,"March 15, 2025",https://postamate.com/2025/03/ruto-opens-up-about-growing-up-in-a-chapati-less-home/,"President William Ruto has opened up about his harrowing childhood, marred by the absence of that golden, flaky delight: the chapati. Speaking at the inaugural National Chapati Appreciation Symposium (NCAS) held at the Kenyatta International Convention Centre, the President bared his soul, leaving attendees in a state of dough-induced disbelief. “I remember those dark days,” Ruto began, his voice trembling like an under-kneaded dough ball. “We could only dream of chapati. While other children flaunted their perfectly round, ghee-glistened creations, my siblings and I were relegated to the culinary purgatory of ugali and sukuma wiki. Do you know what it’s like to watch your peers dip their chapatis into steaming bowls of beef stew while you’re stuck with a lump of maize flour? It scars a man.” The President’s speech, titled “From Doughless to Dough-Full: My Journey to Chapati Enlightenment,” was punctuated by dramatic pauses, during which aides reportedly passed him tissues and a glass of fermented porridge to steady his nerves. Sources close to the President claim he spent weeks preparing for this moment, practicing his “chapati face”—a melancholic expression designed to elicit maximum sympathy from flour enthusiasts nationwide. Ruto’s confession has reignited the long-simmering debate over Kenya’s “chapati divide,” a socio-economic phenomenon that separates the haves (those with access to rolling pins and non-stick tawas) from the have-nots (those who think “chapati” is just a fancy word for “burnt bread”). Political analysts suggest that Ruto’s revelation is a calculated move to bolster his populist credentials ahead of the 2027 elections, with some dubbing it “the chapati gambit.” “This is political gold,” said Professor Mjengo wa Dough, a self-proclaimed expert in edible politics at the University of Nairobi. “By admitting he couldn’t afford chapati, Ruto is signaling to the common mwananchi that he, too, has tasted the bitterness of a chapati-less existence. It’s like saying, ‘I feel your pain, but also, look at me now—I can afford a whole stack of them!’” Critics, however, were quick to roll out their skepticism. Kalonzo Musyoka, speaking from his palatial home in Karen, dismissed Ruto’s story as “a half-baked attempt at relatability.” Holding aloft a perfectly golden chapati for emphasis, Kalonzi declared, “I grew up eating chapati every day, and let me tell you, it was revolutionary! Ruto’s sob story is just a ploy to distract us from the real issues—like why unga prices are higher than a kite on a windy day.” In a bid to address the chapati crisis, President Ruto announced the formation of the National Chapati Empowerment Taskforce (NCET), a multi-billion-shilling initiative aimed at ensuring that every Kenyan household can afford at least one chapati per week. The taskforce, chaired by a former ugali enthusiast turned chapati evangelist, will oversee the distribution of subsidized flour, cooking oil, and rolling pins to underserved communities. “We will not rest until every Kenyan child can say, ‘Mama, leo ni chapati!’ without fear of disappointment,” Ruto proclaimed, pounding the podium with the ferocity of a chef flattening dough. The initiative has already drawn praise from the Kenya Chapati Manufacturers Association (KCMA), which hailed it as “a step toward dough equity.” As the nation grapples with Ruto’s revelation, one thing is clear: the humble chapati has risen to the forefront of Kenya’s political discourse. Whether this will translate into tangible policy changes or merely serve as fodder for late-night comedy shows remains to be seen. For now, the President’s tale of dough and despair has left Kenyans asking the hard questions: How many chapatis are too many? Is ugali secretly jealous? And, most importantly, who ate the last piece at the NCAS buffet? In the meantime, Ruto has vowed to continue sharing his story, with plans to release a memoir titled “Flourless: My Life Without Chapati,” complete with a foreword by celebrity chef Ali Mandhry and a recipe for “Hustler’s Chapati”—a budget-friendly version made with unga ngano and a prayer. As the symposium drew to a close, attendees were treated to a live chapati-rolling demonstration by the First Lady, who reportedly whispered to aides, “If he mentions chapati one more time, I’m switching to naan.” For now, though, it seems the nation’s love affair with this flaky flatbread is far from over—just like Ruto’s quest to prove he’s the ultimate doughboy. Cut out the middleman by joining our Telegram Channel below. This is PostaMate notification channel. We bring to you the best of satire.",PostaMate,satire
“I’ll Withdraw my Non-Existent Troops from DRC If You Say They’re Not There!” – Kagame,"March 7, 2025",https://postamate.com/2025/03/kagame-rwand-troops-m23/,"Kigali, Rwanda – In a move hailed as a diplomatic checkmate by absolutely no one with a functioning brain, Rwandan President Paul Kagame has offered to withdraw his totally-not-there troops from the Democratic Republic of Congo (DRC)—but only if the international community agrees to a little condition: admitting that Rwanda doesn’t have troops in the DRC in the first place. “I’m a reasonable man,” Kagame declared at a press conference, flanked by a suspiciously well-fed M23 rebel delegation. “If the UN, EU, and those pesky Americans will just sign a little affidavit saying, ‘Nope, no Rwandan boots here,’ I’ll happily pull out the troops I don’t have. The DRC’s President Felix Tshisekedi, currently barricaded in Kinshasa with a megaphone and a stack of mineral export receipts, was less amused. “This is like me saying I’ll stop eating fufu if you agree I’ve never tasted it,” he shouted over the border. “Everyone’s seen the Rwandan uniforms! They’re not even subtle—they’ve got ‘Kagame Krew’ embroidered on the back!” The international reaction has been predictably spineless. The UN Security Council convened an emergency session, only to spend three hours debating whether “troops” includes “volunteers with suspiciously good training” before adjourning for coffee. Germany, still smarting from its failed “sanctions sugar” sprinkle on Rwanda last month, mumbled something about “reassessing aid” while quietly booking a trade delegation to Kigali. The UK, ever the innovator, proposed sending Rwanda a shipment of asylum seekers to “guard the border they’re not crossing.” Meanwhile, the M23 rebels—who definitely aren’t a Rwandan proxy—issued a supportive statement from their new headquarters in Bukavu’s fanciest looted villa. “We applaud President Kagame’s bold vision,” said commander Sultani Makenga, polishing a cobalt-encrusted AK-47. “If the world agrees Rwanda’s not here, we’ll stop not-being-here too. It’s simple logic Analysts say Kagame’s gambit is peak absurdity, even for a conflict already drowning in it. “It’s Schrödinger’s army,” quipped geopolitical satirist Dr. Chuckles Mwamba. “The troops are both there and not there until the UN opens the box—and they’re too scared to peek.” Sources close to Kagame hint he’s already drafting a follow-up: demanding the DRC apologize for “imagining” his troops, plus a $50 billion mineral reparations package “for emotional distress.” As eastern DRC burns and the international community perfects its collective shrug, Kagame’s offer hangs in the air like a bad punchline. Will the world play along with his troop-less troop withdrawal? Or will they call his bluff and risk finding out just how many rabbits he can pull from that hat? One thing’s clear: in this game of geopolitical charades, the only winners are the ones selling popcorn—and maybe the guy with the mineral cart. Cut out the middleman by joining our Telegram Channel below. This is PostaMate notification channel. We bring to you the best of satire.",PostaMate,satire
"Raila Odinga Rigged Out of AU Elections, Blames “Compromised Servers and Election Rigging Veterans”","February 15, 2025",https://postamate.com/2025/02/raila-odinga-au-elections-loss/,"ADDIS ABABA, ETHIOPIA — In a shocking turn of events that surprised absolutely no one, Raila Odinga, Kenya’s perennial political phoenix, was once again ousted from a high-stakes election, this time for the Chairperson of the African Union Commission. Odinga, who has more experience with election disputes than most countries have constitutions, immediately cried foul after the results were announced in Addis Ababa. “This is not just a defeat; it’s a masterclass in rigging,” said Odinga, his voice echoing through the halls of the AU headquarters. “I know rigging when I see it, and this reeks of it.” His team claims the election was decided in a secret server room, where the votes mysteriously ‘recalculated’ themselves in favor of Odinga’s opponent. “We thought we were secure, but it turns out the servers were more compromised than a politician’s promises during election time,” one of his lobbyists lamented. Sources close to Raila Odinga hint at the involvement of a shadowy group known as the “Election Rigging Veterans” (ERV), who allegedly have decades of experience in ensuring their candidates win, no matter the vote count. “These guys are like the Illuminati of election rigging. If they don’t want you to win, you won’t,” said one source, whose identity could not be verified because, let’s face it, who would want to admit knowing about this? Raila, never one to take defeat lying down, has promised to take his grievances to the streets of Addis Ababa. “If they can rig it here, they can rig it anywhere,” he declared, rallying his supporters for mass action. “We’re going to show Addis what Kenyan-style peaceful protests look like!” Local authorities in Addis Ababa are reportedly in panic mode, trying to figure out if this means the city will see an influx of Kenyan protesters or if Odinga just plans to march with his usual crew of loyal supporters. Meanwhile, social media is buzzing with memes about Odinga’s election adventures, with hashtags like #RailaRiggedAgain and #AUServersForSale trending across Africa. One popular meme shows Odinga with a checklist titled “Elections I’ve Lost,” with a new checkbox marked “AU Chairperson.” As Addis Ababa braces for potential protests, the rest of the continent watches with popcorn in hand, wondering if this will be the start of a new saga in the long, storied history of Raila Odinga’s electoral battles. In the meantime, the AU has issued a statement asking everyone to remain calm, assuring that their servers are now “100% secure,” which in election terms might mean they’ve just upgraded from “easily hackable” to “slightly less hackable.” Stay tuned for more updates as this story continues to unfold, or perhaps, unravel. Cut out the middleman by joining our Telegram Channel below. This is PostaMate notification channel. We bring to you the best of satire.",PostaMate,satire
Paula White Vows to Eradicate all Small and Medium Sized Demons from the US,"February 7, 2025",https://postamate.com/2025/02/paula-white-vows-to-eradicate-all-small-and-medium-sized-demons-from-the-us/,"Newly appointed leader of the White House Faith Office, Paula Michelle White-Cain, commenced her duties as America’s foremost exorcist by declaring an all-out war on small and medium-sized demons (SMDs). Addressing the press from her White House office, White proclaimed, “This war on SMDs is officially underway! No demon, medium or small, will stand in our path while I hold this office.” “These diminutive fiends,” she thundered, “have tormented the American people for far too long. Americans are not succumbing to missiles; they’re falling prey to insidious viruses and the petty anxieties of daily life. Mortgages weigh heavily on their souls, distracting them from their true purpose: settling intergalactic debts. When did we, the United States of America, become a nation preoccupied with such trivialities? This ends now!” Justifying her exorbitant salary, Paula White argued that her approach aligns perfectly with the nation’s core principles. “America,” she declared, “is a nation of grand ambitions. We must eliminate any suggestion of small-mindedness.” While some may question her focus on these seemingly minor adversaries, it’s crucial to remember that SMDs are notoriously resilient. Inquired about her strategy for confronting larger demons, Paula White revealed a cunning plan. “We’ll consolidate those behemoths into two distinct categories – a classic American approach! – and then unleash the power of the free market. The forces of capitalism, embodied by DOGE and, of course, our mighty military, will inevitably drive the big demons back to the abyss. Some of these larger entities may require more drastic measures – a few hellfire missiles and a substantial funding cut should do the trick.” Cut out the middleman by joining our Telegram Channel below. This is PostaMate notification channel. We bring to you the best of satire.",PostaMate,satire
Thousands of CIA Agents Left Twiddling Thumbs After Trump Pulls USAID Cover,"February 4, 2025",https://postamate.com/2025/02/cia-agents-exposed-after-usaid-dissolution/,"Washington, D.C. – In a shocking twist that’s more dramatic than a soap opera, President Donald Trump has decided to yank the rug from under the CIA by withdrawing funding from USAID, leaving thousands of covert operatives around the globe without their handy NGO disguise. For decades, USAID has been the perfect cover for CIA agents. Need to spy on a local government? Just bring some seeds and talk about agricultural development. Want to infiltrate a foreign military? Here’s a pamphlet on water purification. But now, with USAID funding cut, these agents are stuck, literally and figuratively, with nothing but their spy gear and a bunch of confused locals wondering why the “agricultural experts” are suddenly so interested in the national security office. “Honestly, I thought I was here to teach people how to grow potatoes,” confessed one agent, now sipping a latte in a Lagos café, his cover blown. “But now I’m just a guy with a fake mustache and a questionable CV.” In Cape Town, agents were seen hastily burning their USAID business cards, while in Nairobi, a group of operatives were last spotted trying to convince anyone who would listen that they were now just “very passionate tourists.” Back in Washington, CIA Director Gina Haspel was reportedly seen throwing darts at a dartboard with Trump’s face on it, muttering something about “alternative covers” and “maybe we should just start a coffee shop chain.” Meanwhile, Trump, in his infinite wisdom, tweeted, “Who needs spies when you’ve got Twitter? As for the agents, they’re adapting. One enterprising spy in Nairobi has already set up shop as a “consultant for sustainable living,” while another in Addis Ababa is now the proud owner of “Espionage Espresso,” proving once again that when life gives you lemons, or in this case, no USAID, you make… well, you make do. Cut out the middleman by joining our Telegram Channel below. This is PostaMate notification channel. We bring to you the best of satire.",PostaMate,satire
"Disciplined, Mature Christian Proudly Declares 100% Success in 2025 Bible Reading Plan—by Day Three",No Date,https://postamate.com/2025/01/local-christian-100-per-cent-succes-in-bible-reading-plan/,"A local Christian couldn’t keep quiet after proudly reporting 100% consistency in reading the Bible daily in 2025. The 22-year-old disciplined and mature Christian noted that his plan to read the entire Bible in one year was already a success, having consistently devoured scripture for the first three days of January, registering a perfect success rate. This, he declared, was a major indication of his commitment to the gospel and high level of spiritual maturity. “I have already covered two chapters in Genesis and one chapter in John using a complicated Bible reading plan I found on the YouVersion Bible app. I aim to make it past the Book of Numbers by mid-October,” said the enthusiastic and spirit-filled Christian. Calling on other struggling believers to embrace spiritual disciplines and shun worldly pleasures, he pointed out that many people failed to follow through with their reading commitments, with most not making it past Deuteronomy last year. Fortunately, he did not have a Bible reading plan last year, but he claimed that based on current records, he would have also registered a 100% success rate. “It is not easy. Pastors struggle with it. Elders struggle with it. People on the worship team can barely read the Bible for one day a month. But I am here to prove to all those people it is doable because I have done it. I also warn those who start a Bible reading plan and abandon it by January 2nd: no one who puts a hand to the plow and looks back is fit for service in the kingdom of God.” We plan to check in with him at the end of January to see his progress but we foresee him not picking up our call.  Cut out the middleman by joining our Telegram Channel below. This is PostaMate notification channel. We bring to you the best of satire.",PostaMate,satire
Ruto Administration Wants Government to Have Say in Appointment of Catholic Bishops,"November 15, 2024",https://postamate.com/2024/11/gok-wants-say-in-catholic-bishops-appointment/,"The Government of Kenya has proposed reforms to the appointment process of Catholic Bishops, citing national security concerns as the reason for their involvement. In a letter addressed to Pope Francis, the Kenyan Government expressed worries that some current Bishops do not meet the standards outlined in Chapter Six of the constitution. They emphasized the need for future appointments to align with constitutional demands. “We recognize the Catholic Church’s well-established structure but aim to hold the Church to the State’s high standards. Our goal is a free, fair, and transparent appointment process that benefits the Church and adheres to Chapter Six of our Constitution. Hence, we call for reforms.” The government further explained its desired role in the appointment process, proposing involvement after the Papal Decision. “Following the Diocesan Consultation and the Apostolic Nuncio, nominees should be vetted by the DCI before their names are sent to the Congregation for Bishops in Rome. We also seek to intervene post-Papal Decision to ensure no irregularities occur between the DCI and Rome.” Additionally, the government expects a prompt response from the Pope, stating, “This is a minor request, and we ask Rome to comply swiftly.” Pope Francis did not comment but responded to our email with the emoji below. Cut out the middleman by joining our Telegram Channel below. This is PostaMate notification channel. We bring to you the best of satire.",PostaMate,satire
